"first_name","last_name","nickname","wins","losses","draws","height","weight","reach","stance","birth_date","last_fight_date","total_fights"
"Abubakar","Nurmagomedov","",17,4,1,"5' 11""","170 lbs.","72""","Orthodox","Nov 13, 1989","March 27, 2021",22
"Montserrat","Conejo Ruiz","",10,4,0,"5' 0""","115 lbs.","61""","Southpaw","Feb 03, 1993","March 20, 2021",14
"Harry","Hunsucker","The Hurricane",7,6,0,"6' 2""","205 lbs.","75""","Orthodox","Jan 03, 1989","March 20, 2021",13
"Roman","Dolidze","",14,3,0,"6' 2""","185 lbs.","76""","Orthodox","Jul 15, 1988","March 20, 2021",17
"Jesse","Strader","Sui Generis",5,3,0,"5' 7""","135 lbs.","70""","Orthodox","May 29, 1991","March 20, 2021",8
"JP","Buys","Young Savage",9,6,0,"5' 5""","135 lbs.","67""","Orthodox","Apr 30, 1996","March 20, 2021",15
"Rafa","Garcia","Gifted",16,4,0,"5' 7""","155 lbs.","70""","Orthodox","Aug 05, 1994","March 13, 2021",20
"Carlos","Ulberg","Black Jag",12,1,0,"6' 4""","205 lbs.","77""","Orthodox","Nov 07, 1990","March 06, 2021",13
"Aalon","Cruz","",8,4,0,"6' 0""","145 lbs.","78""","Switch","Sep 20, 1989","March 06, 2021",12
"Mayra","Bueno Silva","Sheetara",10,5,1,"5' 6""","125 lbs.","66""","Orthodox","Aug 22, 1991","February 27, 2021",16
"Sabina","Mazo","Colombian Queen",9,4,0,"5' 7""","125 lbs.","70""","Orthodox","Mar 25, 1997","February 27, 2021",13
"Ronnie","Lawrence","The Heat",8,2,0,"5' 8""","135 lbs.","68""","Switch","Jun 13, 1992","February 27, 2021",10
"Chris","Daukaus","",12,7,0,"6' 3""","205 lbs.","76""","Orthodox","Sep 25, 1989","February 20, 2021",19
"Tom","Aspinall","",15,3,0,"6' 5""","256 lbs.","78""","Orthodox","Apr 11, 1993","February 20, 2021",18
"Casey","O'Neill","King",10,2,0,"5' 6""","125 lbs.","69""","Orthodox","Oct 07, 1997","February 20, 2021",12
"Drako","Rodriguez","",7,3,0,"5' 8""","135 lbs.","69""","Orthodox","Jun 16, 1996","February 20, 2021",10
"Jared","Vanderaa","",12,10,0,"6' 4""","265 lbs.","80""","Orthodox","May 12, 1992","February 20, 2021",22
"Phil","Rowe","The Fresh Prince",10,5,0,"6' 3""","170 lbs.","80""","Orthodox","Jul 18, 1990","February 13, 2021",15
"Manel","Kape","Starboy",20,7,0,"5' 5""","125 lbs.","68""","Southpaw","Nov 14, 1993","February 06, 2021",27
"Michael","Chandler","Iron",23,9,0,"5' 8""","155 lbs.","71""","Orthodox","Apr 24, 1986","January 23, 2021",32
"Gaetano","Pirrello","El Tigre",15,7,1,"5' 7""","135 lbs.","65""","Orthodox","Apr 29, 1992","January 20, 2021",23
"Mason","Jones","Dragon",11,2,0,"5' 10""","155 lbs.","74""","Orthodox","Apr 26, 1995","January 20, 2021",13
"Manon","Fiorot","The Beast",12,1,0,"5' 7""","125 lbs.","65""","Orthodox","Feb 17, 1990","January 20, 2021",13
"Sergey","Morozov","",19,5,0,"5' 6""","135 lbs.","67""","Orthodox","Jun 14, 1989","January 20, 2021",24
"Joselyne","Edwards","La Pantera",14,6,0,"5' 8""","135 lbs.","70""","Orthodox","Sep 29, 1995","January 16, 2021",20
"Austin","Lingo","Lights Out",9,3,0,"5' 10""","145 lbs.","70""","Orthodox","Jul 10, 1994","January 16, 2021",12
"Antonio","Arroyo","",9,5,0,"6' 3""","185 lbs.","73""","Orthodox","Jul 01, 1989","December 19, 2020",14
"Jamie","Pickett","The Night Wolf",13,11,0,"6' 2""","185 lbs.","80""","Orthodox","Aug 29, 1988","December 19, 2020",24
"Carlton","Minus","Clutch",10,3,0,"5' 10""","170 lbs.","75""","Orthodox","Apr 26, 1993","December 19, 2020",13
"Ciryl","Gane","Bon Gamin",13,2,0,"6' 4""","245 lbs.","81""","Orthodox","Apr 12, 1990","December 12, 2020",15
"Billy","Quarantillo","",18,7,0,"5' 10""","145 lbs.","70""","Orthodox","Dec 08, 1988","December 12, 2020",25
"Sam","Hughes","Sampage",9,6,0,"5' 5""","115 lbs.","64""","Orthodox","Jun 28, 1992","December 12, 2020",15
"Jamahal","Hill","Sweet Dreams",12,3,0,"6' 4""","205 lbs.","79""","Southpaw","May 19, 1991","December 05, 2020",15
"Jordan","Leavitt","The Monkey King",11,3,0,"5' 9""","155 lbs.","71""","Southpaw","Jun 02, 1995","December 05, 2020",14
"Kai","Kamaka","The Fighting Hawaiian",8,4,1,"5' 7""","145 lbs.","69""","Orthodox","Jan 05, 1995","November 28, 2020",13
"Malcolm","Gordon","X",14,8,0,"5' 7""","125 lbs.","71""","Switch","May 19, 1990","November 28, 2020",22
"Jared","Gooden","Nitetrain",23,10,0,"6' 0""","170 lbs.","77""","Orthodox","Dec 05, 1993","November 21, 2020",33
"Dustin","Stoltzfus","",16,6,0,"6' 0""","185 lbs.","75""","Orthodox","Nov 15, 1991","November 21, 2020",22
"Sasha","Palatnikov","",6,4,0,"6' 1""","170 lbs.","72""","Switch","Mar 15, 1989","November 21, 2020",10
"Miranda","Granger","Danger",7,3,0,"5' 7""","115 lbs.","68""","Orthodox","Apr 13, 1992","November 14, 2020",10
"Cory","McKenna","Poppins",8,4,0,"5' 3""","115 lbs.","58""","Orthodox","Jul 11, 1999","November 14, 2020",12
"Kanako","Murata","",12,3,0,"5' 1""","115 lbs.","62""","Orthodox","Aug 10, 1993","November 14, 2020",15
"Jamey","Simmons","The Afro Samurai",7,4,0,"5' 6""","135 lbs.","70""","Orthodox","Sep 11, 1992","November 07, 2020",11
"Ramiz","Brahimaj","",11,5,0,"5' 10""","170 lbs.","72""","Orthodox","Nov 17, 1992","November 07, 2020",16
"Charlie","Ontiveros","American Bad Boy",11,9,0,"6' 2""","155 lbs.","74""","Switch","Jul 04, 1991","October 31, 2020",20
"Victor","Rodriguez","Vicious",7,4,0,"5' 5""","125 lbs.","67""","Switch","Sep 05, 1992","October 31, 2020",11
"Kevin","Natividad","Quicksand",9,4,0,"5' 6""","135 lbs.","70""","Orthodox","Apr 02, 1993","October 31, 2020",13
"Phil","Hawes","No Hype",12,6,0,"6' 0""","185 lbs.","77""","Orthodox","Jan 08, 1989","October 24, 2020",18
"Liliya","Shakirova","",8,2,0,"5' 4""","125 lbs.","65""","Orthodox","Oct 24, 1991","October 24, 2020",10
"Shavkat","Rakhmonov","Nomad",19,0,0,"6' 1""","170 lbs.","77""","Orthodox","Oct 23, 1994","October 24, 2020",19
"Miranda","Maverick","Fear The",17,5,0,"5' 3""","125 lbs.","65""","Southpaw","Jul 01, 1997","October 24, 2020",22
"Modestas","Bukauskas","The Baltic Gladiator",17,6,0,"6' 3""","205 lbs.","78""","Switch","Feb 10, 1994","October 17, 2020",23
"Guram","Kutateladze","Georgian Viking",13,4,0,"5' 11""","155 lbs.","72""","Orthodox","Jan 08, 1992","October 17, 2020",17
"Mark","Striegl","Mugen",18,4,0,"5' 8""","145 lbs.","70""","Southpaw","Jun 23, 1988","October 17, 2020",22
"Dricus","Du Plessis","Stillknocks",23,2,0,"6' 1""","185 lbs.","76""","Switch","Jan 14, 1994","October 10, 2020",25
"Alan","Baudot","The Black Samourai",8,3,0,"6' 3""","243 lbs.","79""","Orthodox","Feb 01, 1988","October 10, 2020",11
"Ilia","Topuria","El Matador",16,0,0,"5' 7""","145 lbs.","69""","Orthodox","Jan 21, 1997","October 10, 2020",16
"KB","Bhullar","The Bengal",8,2,0,"6' 4""","185 lbs.","78""","Switch","Oct 12, 1991","October 10, 2020",10
"Rodrigo","Nascimento","Ze Colmeia",11,3,0,"6' 2""","246 lbs.","80""","Orthodox","Nov 26, 1992","October 10, 2020",14
"Stephanie","Egger","",8,5,0,"5' 6""","135 lbs.","68""","Orthodox","Aug 12, 1988","October 10, 2020",13
"Tagir","Ulanbekov","",16,2,0,"5' 7""","125 lbs.","70""","Southpaw","Aug 07, 1991","October 10, 2020",18
"Carlos","Felipe","Boi",11,2,0,"6' 0""","245 lbs.","75""","Orthodox","Jan 12, 1995","October 03, 2020",13
"Cameron","Else","Camchida",10,6,0,"5' 9""","135 lbs.","71""","Switch","Apr 27, 1987","October 03, 2020",16
"Dusko","Todorovic","Thunder",12,5,0,"6' 1""","185 lbs.","74""","Orthodox","May 19, 1994","October 03, 2020",17
"Nassourdine","Imavov","The Sniper",16,4,0,"6' 3""","185 lbs.","75""","Orthodox","Mar 01, 1995","October 03, 2020",20
"Alatengheili","","The Mongolian Knight",17,9,2,"5' 5""","135 lbs.","66""","Orthodox","Dec 14, 1991","October 03, 2020",28
"Ludovit","Klein","Mr. Highlight",23,4,1,"5' 7""","155 lbs.","72""","Southpaw","Feb 22, 1995","September 26, 2020",28
"Aleksa","Camur","",6,3,0,"6' 1""","205 lbs.","74""","Orthodox","Sep 25, 1995","September 26, 2020",9
"Danilo","Marques","",11,4,0,"6' 6""","205 lbs.","77""","Orthodox","Dec 26, 1985","September 26, 2020",15
"Sarah","Alpar","Too Sweet",9,6,0,"5' 4""","135 lbs.","63""","Southpaw","Jun 01, 1991","September 19, 2020",15
"TJ","Laramie","",12,5,0,"5' 6""","145 lbs.","66""","Orthodox","Oct 15, 1997","September 19, 2020",17
"Jerome","Rivera","Renegade",10,6,0,"5' 10""","125 lbs.","72""","Southpaw","Apr 22, 1995","September 19, 2020",16
"Kevin","Croom","Crash",21,15,0,"5' 11""","135 lbs.","73""","Orthodox","Jul 15, 1987","September 12, 2020",36
"Roque","Martinez","",15,8,2,"5' 10""","250 lbs.","72""","Orthodox","Mar 04, 1986","September 12, 2020",25
"Anthony","Ivy","Aquaman",8,4,0,"6' 2""","185 lbs.","74""","Orthodox","Jan 23, 1990","September 12, 2020",12
"Alonzo","Menifield","Atomic",16,5,1,"6' 0""","205 lbs.","76""","Orthodox","Oct 18, 1987","September 05, 2020",22
"Ray","Rodriguez","The Judge",16,8,0,"5' 7""","135 lbs.","70""","Orthodox","Dec 10, 1987","September 05, 2020",24
"Bill","Algeo","Senor Perfecto",18,9,0,"6' 0""","145 lbs.","73""","Switch","Jun 09, 1989","August 29, 2020",27
"Impa","Kasanganay","Tshilobo",9,2,0,"5' 11""","170 lbs.","75""","Orthodox","Jan 17, 1994","August 29, 2020",11
"Austin","Springer","",12,4,0,"5' 8""","145 lbs.","71""","Orthodox","May 12, 1987","August 29, 2020",16
"Joe","Solecki","",13,6,0,"5' 9""","155 lbs.","70""","Orthodox","Aug 27, 1993","August 22, 2020",19
"Mizuki","","",15,6,0,"5' 3""","115 lbs.","65""","Orthodox","Aug 19, 1994","August 22, 2020",21
"Jordan","Wright","The Beverly Hills Ninja",12,5,0,"6' 2""","205 lbs.","77""","Orthodox","Oct 07, 1991","August 22, 2020",17
"Matthew","Semelsberger","Semi The Jedi",11,8,0,"6' 1""","170 lbs.","75""","Switch","Nov 23, 1992","August 22, 2020",19
"Trevin","Jones","5 Star",13,10,0,"5' 7""","135 lbs.","70""","Southpaw","Aug 04, 1990","August 22, 2020",23
"Danny","Chavez","The Colombian Warrior",11,5,1,"5' 8""","145 lbs.","67""","Orthodox","Mar 14, 1987","August 15, 2020",17
"Livinha","Souza","The Brazilian Gangsta",14,4,0,"5' 3""","115 lbs.","63""","Orthodox","Mar 11, 1991","August 15, 2020",18
"Parker","Porter","",14,9,0,"6' 0""","265 lbs.","75""","Orthodox","Apr 22, 1985","August 15, 2020",23
"Tony","Kelley","Primetime",8,3,0,"5' 9""","135 lbs.","70""","Switch","Jan 21, 1987","August 15, 2020",11
"Julija","Stoliarenko","",11,9,2,"5' 7""","125 lbs.","66""","Orthodox","Apr 08, 1993","August 08, 2020",22
"Joaquin","Buckley","New Mansa",21,6,0,"5' 10""","170 lbs.","76""","Southpaw","Apr 27, 1994","August 08, 2020",27
"Alexander","Munoz","",7,2,0,"5' 9""","155 lbs.","72""","Switch","Feb 27, 1990","August 08, 2020",9
"Peter","Barrett","Slippery",11,5,0,"5' 10""","145 lbs.","73""","Southpaw","Aug 10, 1986","August 08, 2020",16
"Ali","AlQaisi","The Royal Fighter",8,5,0,"5' 6""","135 lbs.","68""","Orthodox","Sep 23, 1990","August 08, 2020",13
"Nate","Maness","Mayhem",16,3,0,"5' 10""","125 lbs.","72""","Orthodox","Jun 27, 1991","August 01, 2020",19
"Vince","Cachero","The Anomaly",7,4,0,"5' 6""","145 lbs.","68""","Orthodox","Nov 07, 1989","August 01, 2020",11
"Cody","Durden","Custom Made",17,7,1,"5' 7""","125 lbs.","67""","Southpaw","Mar 29, 1991","August 01, 2020",25
"Rhys","McKee","Skeletor",13,6,1,"6' 2""","170 lbs.","78""","Orthodox","Sep 10, 1995","July 25, 2020",20
"Jai","Herbert","Black Country Banger",13,5,1,"6' 1""","155 lbs.","77""","Orthodox","May 13, 1988","July 25, 2020",19
"Mike","Grundy","",12,4,0,"5' 7""","145 lbs.","72""","Orthodox","Jan 03, 1987","July 25, 2020",16
"Niklas","Stolze","Green Mask",12,6,0,"6' 1""","155 lbs.","74""","Switch","Dec 28, 1992","July 25, 2020",18
"John","Castaneda","Sexi Mexi",21,7,0,"5' 6""","135 lbs.","71""","Switch","Dec 18, 1991","July 25, 2020",28
"Luana","Carolina","Dread",11,4,0,"5' 6""","125 lbs.","69""","Orthodox","Jun 11, 1993","July 18, 2020",15
"Amir","Albazi","The Prince",17,2,0,"5' 5""","125 lbs.","68""","Orthodox","Oct 27, 1993","July 18, 2020",19
"Mounir","Lazzez","The Sniper",11,3,0,"6' 1""","170 lbs.","76""","Orthodox","Nov 16, 1987","July 15, 2020",14
"Khamzat","Chimaev","Borz",14,0,0,"6' 2""","185 lbs.","75""","Orthodox","May 01, 1994","July 15, 2020",14
"Andreas","Michailidis","The Spartan",13,6,0,"6' 0""","170 lbs.","76""","Orthodox","Jul 18, 1988","July 15, 2020",19
"Liana","Jojua","She Wolf",8,5,0,"5' 4""","125 lbs.","62""","Orthodox","Mar 22, 1995","July 15, 2020",13
"Jiri","Prochazka","",31,5,1,"6' 3""","205 lbs.","80""","Orthodox","Oct 14, 1992","July 11, 2020",37
"Danny","Henry","The Hatchet",12,4,0,"6' 0""","145 lbs.","73""","Orthodox","Jul 17, 1988","July 11, 2020",16
"Roman","Bogatov","",10,1,0,"5' 8""","155 lbs.","73""","Orthodox","Dec 15, 1990","July 11, 2020",11
"Maxim","Grishin","Maximus",32,10,2,"6' 3""","205 lbs.","78""","Orthodox","May 02, 1984","July 11, 2020",44
"Zhalgas","Zhumagulov","",14,9,0,"5' 4""","125 lbs.","66""","Switch","Aug 29, 1988","July 11, 2020",23
"Kyle","Daukaus","",11,4,0,"6' 3""","185 lbs.","76""","Southpaw","Feb 27, 1993","June 27, 2020",15
"Jason","Witt","The Vanilla Gorilla",19,9,0,"5' 10""","170 lbs.","70""","Orthodox","Nov 07, 1986","June 27, 2020",28
"Jinh","Yu Frey","",11,10,0,"5' 3""","115 lbs.","65""","Southpaw","May 20, 1985","June 27, 2020",21
"Justin","Jaynes","The Guitar Hero",16,8,0,"5' 7""","145 lbs.","68""","Orthodox","Aug 10, 1989","June 20, 2020",24
"Max","Rohskopf","Rated R",5,1,0,"6' 1""","155 lbs.","71""","Orthodox","Sep 27, 1994","June 20, 2020",6
"Gustavo","Lopez","",12,6,1,"5' 5""","135 lbs.","67""","Orthodox","Jun 27, 1989","June 13, 2020",19
"Javid","Basharat","The Snow Leopard",14,2,0,"5' 9""","135 lbs.","69""","Orthodox","Sep 07, 1995","February 22, 2025",16
"Christian","Aguilera","The Beast",14,8,0,"5' 9""","170 lbs.","72""","Switch","Nov 25, 1991","June 13, 2020",22
"Sean","O'Malley","Suga",18,2,0,"5' 11""","135 lbs.","72""","Switch","Oct 24, 1994","June 06, 2020",20
"Chase","Hooper","The Dream",15,3,1,"6' 1""","155 lbs.","74""","Southpaw","Sep 13, 1999","June 06, 2020",19
"Herbert","Burns","The Blaze",11,6,0,"5' 9""","145 lbs.","73""","Orthodox","Feb 02, 1988","June 06, 2020",17
"Brok","Weaver","Chata Tuska",15,6,0,"6' 0""","155 lbs.","73""","Southpaw","Dec 05, 1991","May 30, 2020",21
"Gabe","Green","Gifted",11,5,0,"5' 10""","155 lbs.","73""","Switch","May 02, 1993","May 30, 2020",16
"Brandon","Royval","Raw Dawg",17,7,0,"5' 9""","125 lbs.","68""","Southpaw","Aug 16, 1992","May 30, 2020",24
"Miguel","Baeza","Caramel Thunder",10,4,0,"6' 2""","170 lbs.","74""","Orthodox","Aug 23, 1992","May 16, 2020",14
"Irwin","Rivera","The Beast",10,6,0,"5' 6""","135 lbs.","67""","Southpaw","Feb 14, 1989","May 16, 2020",16
"Philipe","Lins","Monstro",18,5,0,"6' 2""","205 lbs.","78""","Orthodox","Aug 17, 1985","May 13, 2020",23
"Ike","Villanueva","Hurricane",18,14,0,"6' 1""","205 lbs.","73""","Orthodox","Apr 04, 1984","May 13, 2020",32
"David","Dvorak","Undertaker",20,6,0,"5' 5""","125 lbs.","68""","Orthodox","Jun 05, 1992","March 14, 2020",26
"Bea","Malecki","",4,1,0,"5' 9""","135 lbs.","74""","Orthodox","Aug 23, 1991","March 14, 2020",5
"Deron","Winn","",7,3,0,"5' 6""","185 lbs.","70""","Orthodox","Jun 13, 1989","March 07, 2020",10
"Jamall","Emmers","Pretty Boy",20,8,0,"5' 10""","145 lbs.","74""","Orthodox","Jul 24, 1989","March 07, 2020",28
"Norma","Dumont","The Immortal",12,2,0,"5' 7""","135 lbs.","67""","Orthodox","Oct 01, 1990","February 29, 2020",14
"Darrick","Minner","",26,14,0,"5' 7""","145 lbs.","69""","Orthodox","Apr 28, 1990","February 29, 2020",40
"Kyler","Phillips","The Matrix",12,3,0,"5' 8""","135 lbs.","72""","Orthodox","Jun 12, 1995","February 29, 2020",15
"Steve","Garcia","Mean Machine",17,5,0,"6' 0""","145 lbs.","75""","Southpaw","May 22, 1992","February 29, 2020",22
"TJ","Brown","Downtown",17,11,0,"5' 9""","145 lbs.","72""","Switch","May 22, 1990","February 29, 2020",28
"Spike","Carlyle","Alpha Ginger",9,3,0,"5' 8""","145 lbs.","71""","Switch","May 06, 1993","February 29, 2020",12
"Josh","Culibao","Kuya",11,4,1,"5' 10""","145 lbs.","73""","Orthodox","May 24, 1994","February 22, 2020",16
"Song","Kenan","The Assassin",22,9,0,"6' 0""","170 lbs.","71""","Orthodox","Mar 10, 1990","February 22, 2020",31
"Kazula","Vargas","",12,5,0,"5' 8""","155 lbs.","71""","Southpaw","Aug 15, 1985","February 15, 2020",17
"Daniel","Rodriguez","D-rod",18,5,0,"6' 1""","170 lbs.","74""","Southpaw","Dec 31, 1986","February 15, 2020",23
"Shanna","Young","The Shanimal",9,6,0,"5' 7""","125 lbs.","65""","Orthodox","Feb 20, 1991","February 15, 2020",15
"Justin","Tafa","Bad Man",7,5,0,"6' 0""","264 lbs.","74""","Southpaw","Dec 13, 1993","February 08, 2020",12
"Khaos","Williams","The Oxfighter",15,4,0,"6' 0""","170 lbs.","77""","Orthodox","Mar 30, 1994","February 08, 2020",19
"Youssef","Zalal","The Moroccan Devil",17,5,1,"5' 10""","145 lbs.","72""","Switch","Sep 04, 1996","February 08, 2020",23
"Tony","Gravely","",23,9,0,"5' 5""","135 lbs.","69""","Orthodox","Sep 28, 1991","January 25, 2020",32
"Nate","Landwehr","The Train",18,6,0,"5' 9""","145 lbs.","72""","Orthodox","Jun 06, 1988","January 25, 2020",24
"Maurice","Greene","The Crochet Boss",9,7,0,"6' 7""","258 lbs.","80""","Orthodox","Jul 05, 1986","January 18, 2020",16
"Ode","Osbourne","The Jamaican Sensation",12,8,0,"5' 7""","125 lbs.","73""","Southpaw","Jan 09, 1992","January 18, 2020",20
"Maycee","Barber","The Future",14,2,0,"5' 5""","125 lbs.","65""","Switch","May 18, 1998","January 18, 2020",16
"Marc-Andre","Barriault","Powerbar",16,9,0,"6' 1""","185 lbs.","74""","Orthodox","Feb 18, 1990","December 21, 2019",25
"Suman","Mokhtarian","",8,5,0,"5' 8""","145 lbs.","72""","Orthodox","Jun 13, 1992","December 21, 2019",13
"Omar","Morales","Venezuelan Fighter",11,4,0,"5' 11""","155 lbs.","73""","Orthodox","Oct 17, 1985","December 21, 2019",15
"Jacob","Kilburn","The Killer",8,4,0,"5' 9""","145 lbs.","72""","Orthodox","Jun 28, 1995","December 07, 2019",12
"Mallory","Martin","",7,5,0,"5' 4""","115 lbs.","63""","Orthodox","Jan 29, 1994","December 07, 2019",12
"Andre","Muniz","Sergipano",24,6,0,"6' 1""","185 lbs.","78""","Southpaw","Feb 17, 1990","November 16, 2019",30
"Eduardo","Garagorri","",13,2,0,"5' 9""","145 lbs.","70""","Orthodox","May 28, 1989","November 16, 2019",15
"Isabela","de Padua","Belinha",5,2,0,"5' 3""","125 lbs.","64""","Orthodox","Sep 04, 1991","November 16, 2019",7
"Tracy","Cortez","",11,2,0,"5' 5""","125 lbs.","65""","Orthodox","Dec 10, 1993","November 16, 2019",13
"Greg","Hardy","Prince Of War",7,5,0,"6' 5""","265 lbs.","80""","Orthodox","Jul 28, 1988","November 09, 2019",12
"Dalcha","Lungiambula","Champion",11,6,0,"5' 8""","185 lbs.","76""","Orthodox","Jul 31, 1987","November 09, 2019",17
"Roosevelt","Roberts","The Predator",12,6,0,"6' 2""","155 lbs.","73""","Orthodox","Feb 11, 1994","November 09, 2019",18
"Don'Tale","Mayes","Lord Kong",11,8,0,"6' 6""","260 lbs.","81""","Orthodox","Jan 16, 1992","October 26, 2019",19
"Movsar","Evloev","",19,0,0,"5' 7""","145 lbs.","72""","Orthodox","Feb 11, 1994","October 26, 2019",19
"Ben","Sosoli","Combat Wombat",7,3,0,"6' 0""","265 lbs.","72""","Southpaw","Dec 10, 1989","October 18, 2019",10
"Jonathan","Pearce","Jsp",14,7,0,"6' 0""","145 lbs.","71""","Switch","May 01, 1992","October 18, 2019",21
"Diana","Belbita","The Warrior Princess",15,9,0,"5' 7""","125 lbs.","68""","Orthodox","Jun 26, 1996","October 18, 2019",24
"Sean","Woodson","The Sniper",13,1,1,"6' 2""","145 lbs.","78""","Orthodox","Jun 07, 1992","October 18, 2019",15
"Boston","Salmon","Boom Boom",6,3,0,"5' 9""","135 lbs.","69""","Southpaw","Nov 20, 1990","October 18, 2019",9
"Sean","Brady","",17,1,0,"5' 10""","170 lbs.","72""","Orthodox","Nov 23, 1992","October 18, 2019",18
"Tanner","Boser","The Bulldozer",21,10,1,"6' 2""","205 lbs.","75""","Orthodox","Aug 02, 1991","October 18, 2019",32
"Yorgan","De Castro","The Mad Titan",6,3,0,"6' 0""","250 lbs.","74""","Orthodox","Dec 19, 1986","October 05, 2019",9
"Rostem","Akman","",6,2,0,"5' 10""","170 lbs.","72""","Switch","Dec 19, 1991","October 05, 2019",8
"Maki","Pitolo","Coconut Bombz",13,9,0,"5' 10""","185 lbs.","75""","Orthodox","Nov 24, 1990","October 05, 2019",22
"Jamie","Mullarkey","",17,8,0,"6' 0""","155 lbs.","74""","Orthodox","Aug 17, 1994","October 05, 2019",25
"Zarah","Fairn","Infinite",6,6,0,"5' 8""","135 lbs.","72""","Orthodox","Dec 10, 1983","October 05, 2019",12
"Bruno","Silva","Bulldog",14,6,2,"5' 4""","125 lbs.","65""","Orthodox","Mar 16, 1990","October 05, 2019",22
"Makhmud","Muradov","",26,8,0,"6' 2""","185 lbs.","75""","Orthodox","Feb 08, 1990","September 28, 2019",34
"Giga","Chikadze","Ninja",15,4,0,"6' 0""","145 lbs.","74""","Orthodox","Aug 25, 1988","September 28, 2019",19
"Askar","Askarov","Bullet",14,1,1,"5' 6""","125 lbs.","67""","Orthodox","Oct 09, 1992","September 21, 2019",16
"Vanessa","Melo","",11,8,0,"5' 5""","135 lbs.","65""","Orthodox","Mar 27, 1988","September 21, 2019",19
"Tyson","Nam","",21,14,1,"5' 7""","125 lbs.","68""","Orthodox","Oct 06, 1983","September 21, 2019",36
"Tristan","Connelly","Boondock",14,8,0,"5' 10""","145 lbs.","68""","Orthodox","Dec 12, 1985","September 14, 2019",22
"Jimmy","Crute","",12,4,2,"6' 2""","205 lbs.","74""","Orthodox","Mar 04, 1996","September 14, 2019",18
"Miles","Johns","Chapo",15,3,0,"5' 7""","145 lbs.","66""","Orthodox","Mar 30, 1994","September 14, 2019",18
"Hunter","Azure","",9,2,0,"5' 8""","145 lbs.","69""","Orthodox","Mar 02, 1992","September 14, 2019",11
"Ryan","MacDonald","Main Event",10,2,0,"5' 11""","135 lbs.","71""","Switch","Mar 18, 1993","September 14, 2019",12
"Lerone","Murphy","The Miracle",15,0,1,"5' 9""","145 lbs.","73""","Orthodox","Jul 22, 1991","September 07, 2019",16
"Muslim","Salikhov","King Of Kung Fu",21,5,0,"5' 11""","170 lbs.","70""","Orthodox","Jun 09, 1984","September 07, 2019",26
"Fares","Ziam","Smile Killer",17,4,0,"6' 1""","155 lbs.","75""","Orthodox","Mar 21, 1997","September 07, 2019",21
"Mizuki","","",15,6,0,"5' 3""","115 lbs.","65""","Orthodox","Aug 19, 1994","August 31, 2019",21
"Khadis","Ibragimov","",8,4,0,"6' 3""","205 lbs.","78""","Orthodox","May 21, 1995","August 31, 2019",12
"Batgerel","Danaa","Storm",12,5,0,"5' 7""","135 lbs.","70""","Orthodox","Jul 04, 1989","August 31, 2019",17
"Lara","Procopio","",7,2,0,"5' 4""","125 lbs.","67""","Orthodox","Nov 14, 1995","August 31, 2019",9
"Khama","Worthy","The Death Star",16,9,0,"5' 11""","155 lbs.","74""","Orthodox","Oct 15, 1986","August 17, 2019",25
"Raphael","Pessoa","Bebezao",10,2,0,"6' 3""","262 lbs.","78""","Orthodox","Mar 09, 1989","August 10, 2019",12
"Kennedy","Nzechukwu","African Savage",14,5,0,"6' 5""","236 lbs.","83""","Southpaw","Jun 13, 1992","August 03, 2019",19
"Cole","Williams","Havoc",11,3,0,"6' 0""","170 lbs.","73""","Orthodox","Dec 15, 1983","August 03, 2019",14
"Hannah","Goldy","24k",6,4,0,"5' 4""","115 lbs.","61""","Orthodox","May 18, 1992","August 03, 2019",10
"Yoshinori","Horie","",8,2,0,"5' 8""","145 lbs.","70""","Orthodox","May 10, 1995","July 27, 2019",10
"Kyle","Stewart","Gunz Up",11,3,0,"6' 0""","170 lbs.","76""","Orthodox","Jan 31, 1989","July 27, 2019",14
"Gabriel","Silva","",8,2,0,"5' 6""","135 lbs.","71""","Orthodox","Aug 26, 1994","July 20, 2019",10
"Wellington","Turman","The Prodigy",18,8,0,"6' 0""","170 lbs.","72""","Orthodox","Jul 22, 1996","July 13, 2019",26
"John","Allan","",13,7,0,"6' 1""","205 lbs.","75""","Orthodox","Feb 22, 1993","July 13, 2019",20
"Nicco","Montano","",5,3,0,"5' 5""","135 lbs.","65""","Southpaw","Dec 16, 1988","July 13, 2019",8
"Brianna","Fortino","The Bull",9,3,0,"5' 0""","115 lbs.","62""","Southpaw","Aug 04, 1993","July 13, 2019",12
"Nohelin","Hernandez","Suave",9,4,0,"5' 10""","135 lbs.","71""","Orthodox","Mar 01, 1994","July 06, 2019",13
"Pannie","Kianzad","Banzai",17,9,0,"5' 7""","135 lbs.","66""","Orthodox","Dec 08, 1991","July 06, 2019",26
"Journey","Newson","",10,5,0,"5' 5""","135 lbs.","67""","Orthodox","Mar 07, 1989","June 29, 2019",15
"Dequan","Townsend","The Tarantula",21,12,0,"6' 3""","205 lbs.","79""","Orthodox","May 11, 1986","June 29, 2019",33
"Amanda","Ribas","",13,6,0,"5' 3""","115 lbs.","66""","Orthodox","Aug 26, 1993","June 29, 2019",19
"Grigory","Popov","",13,3,0,"5' 7""","135 lbs.","68""","Switch","Apr 18, 1984","June 08, 2019",16
